company,eventDate,layoffsCount,industry,geography,aiRelevance,status,sourceQuality,primary source URL
C.H. Robinson,2025-10-30,,Logistics,United States,explicit_ai_cited,verified,reputable_reporting,https://www.businesswire.com/news/home/20250416223613/en/At-C.H.-Robinson-Artificial-Intelligence-Has-Now-Performed-Over-3-Million-Shipping-Tasks
Amazon,2025-10-28,14000,Technology,United States,explicit_ai_cited,verified,primary_source,https://www.aboutamazon.com/news/company-news/amazon-workforce-reduction
Chegg,2025-10-28,388,Education Technology,United States,explicit_ai_cited,verified,reputable_reporting,https://www.reuters.com/world/work/chegg-lay-off-45-workforce-ai-disruption-hits-business-2025-10-28/
Meta,2025-10-22,600,Technology,United States,ai_reorg_or_spend_linked,verified,reputable_reporting,https://www.informationweek.com/it-leadership/tech-company-layoffs-the-covid-tech-bubble-bursts-sep-14
Nestlé,2025-10-16,16000,Food & Beverage,Switzerland,explicit_ai_cited,verified,reputable_reporting,https://fortune.com/2025/10/16/nestle-layoffs-job-cuts-philipp-navratil-turnaround-automation/
Meta,2025-10-01,600,Technology,United States,ai_adjacent_restructuring,verified,reputable_reporting,https://www.reuters.com/business/world-at-work/companies-cutting-jobs-investments-shift-toward-ai-2026-02-25/
Paycom,2025-10-01,500,Technology,United States,ai_replacement_cited,verified,reputable_reporting,https://www.kgou.org/business-and-economy/2025-10-01/paycom-lays-off-500-employees-will-replace-jobs-with-ai
Just Eat Takeaway,2025-09-25,450,Technology,Netherlands,automation_efficiency_cited,verified,reputable_reporting,https://hr.economictimes.indiatimes.com/news/workplace-4-0/talent-management/indian-e-scooter-firm-ola-electric-to-lay-off-5-of-workforce-amid-profitability-push/127805612
Best Buy,2025-09-24,,Retail,United States,automation_efficiency_cited,verified,reputable_reporting,https://www.investing.com/news/stock-market-news/best-buy-cuts-jobs-in-geek-squad-and-customer-service-teams--bloomberg-93CH-4254361
Fiverr,2025-09-15,250,Technology,Israel,explicit_ai_cited,verified,reputable_reporting,https://globalbusinessoutlook.com/technology/fiverr-layoffs-all-you-need-know/
Scope3,2025-09-05,,Technology,United States,ai_adjacent_restructuring,verified,reputable_reporting,https://finance.yahoo.com/news/exclusive-scope3-lays-off-staff-152235483.html
Salesforce,2025-09-02,4000,Technology,United States,explicit_ai_cited,verified,reputable_reporting,https://www.cnbc.com/2025/09/02/salesforce-ceo-confirms-4000-layoffs-because-i-need-less-heads-with-ai.html
BenchSci,2025-08-12,83,Technology,Canada,explicit_ai_cited,verified,reputable_reporting,https://www.bctechnology.com/news/2025/8/15/BenchSci-Cuts-23-of-Jobs-Becoming-Latest-Company-to-Replace-Humans-With-AI.cfm
Lufthansa,2025-08-01,4000,Other,Germany,automation_efficiency_cited,verified,reputable_reporting,https://www.businessinsider.com/recent-company-layoffs-laying-off-workers-2025
King,2025-07-14,200,Gaming,Global,explicit_ai_cited,verified,reputable_reporting,https://mobilegamer.biz/laid-off-king-staff-set-to-be-replaced-by-the-ai-tools-they-helped-build-say-sources/
Recruit Holdings,2025-07-10,1300,Technology,Japan,explicit_ai_cited,verified,reputable_reporting,https://www.cbsnews.com/news/indeed-glassdoor-layoffs-ai-job-search/
TomTom,2025-06-30,300,Technology,Netherlands,explicit_ai_cited,verified,reputable_reporting,https://www.reuters.com/technology/tomtom-cut-300-jobs-amid-ai-shift-2025-06-30/
Klue,2025-06-27,85,Technology,Canada,ai_adjacent_restructuring,verified,reputable_reporting,https://betakit.com/klue-lays-off-40-percent-of-staff-as-startup-faces-internal-and-external-ai-pressure/
Intel,2025-06-20,,Technology,United States,explicit_ai_cited,verified,reputable_reporting,https://www.oregonlive.com/silicon-forest/2025/06/intel-will-outsource-marketing-to-accenture-and-ai-laying-off-many-of-its-own-workers.html
Chegg,2025-05-12,248,Other,United States,explicit_ai_cited,verified,reputable_reporting,https://www.reuters.com/world/work/chegg-lay-off-22-workforce-ai-tools-shake-up-edtech-industry-2025-05-12/
CrowdStrike,2025-05-07,500,Cybersecurity,United States,explicit_ai_cited,verified,primary_source,https://www.sec.gov/ixviewer/ix.html?doc=/Archives/edgar/data/1535527/000153552725000091/crwd-20250507.htm
OpenText,2025-05-06,1600,Technology,Canada,explicit_ai_cited,verified,reputable_reporting,https://betakit.com/opentext-makes-ai-number-one-priority-as-company-slashes-1600-jobs/
UPS,2025-04-29,20000,Other,United States,automation_efficiency_cited,verified,reputable_reporting,https://themusicessentials.com/news/ups-to-cut-20000-jobs-as-it-pulls-back-from-amazon-and-embraces-automation/
Canva,2025-04-03,10,Technology,Australia,automation_efficiency_cited,verified,reputable_reporting,https://ia.acs.org.au/article/2025/canva-lays-off-technical-writers-amid-ai-push.html
Zomato,2025-04-01,600,Technology,India,automation_efficiency_cited,verified,reputable_reporting,https://inc42.com/buzz/zomato-trims-600-jobs-amid-increasing-automation-quick-commerce-wars/
Morgan Stanley,2025-03-19,2000,Finance,United States,explicit_ai_cited,verified,reputable_reporting,https://www.entrepreneur.com/business-news/morgan-stanley-plans-to-cut-2000-workers-partly-due-to-ai/488752
Wayfair,2025-03-07,340,Technology,United States,explicit_ai_cited,verified,primary_source,http://pdf.secdatabase.com/1098/0001616707-25-000028.pdf
Google,2025-02-27,,Technology,United States,automation_efficiency_cited,verified,reputable_reporting,https://www.cnbc.com/2025/02/27/google-announces-layoffs-in-its-hr-cloud-units-as-part-of-ongoing-cost-cuts.html
DBS Group,2025-02-24,4000,Finance,Singapore,explicit_ai_cited,verified,reputable_reporting,https://whtc.com/2025/02/24/dbs-group-set-to-cut-4000-jobs-in-next-3-years-ceo-says/
Zepz,2025-02-13,200,Finance,United Kingdom,explicit_ai_cited,verified,reputable_reporting,https://www.fintechfutures.com/job-cuts-new-hires/uk-fintech-zepz-reportedly-set-to-lay-off-around-200-employees
Workday,2025-02-05,1750,Technology,United States,ai_adjacent_restructuring,verified,primary,https://blog.workday.com/en-us/2025/employee-message-from-carl-eschenbach.html
AMD,2024-11-13,1000,Technology,United States,explicit_ai_cited,verified,reputable_reporting,https://www.reuters.com/world/us/amd-cut-4-global-workforce-it-focuses-ai-chip-development-2024-11-13/
TikTok,2024-10-11,,Technology,Singapore,ai_replacement_cited,verified,reputable_reporting,https://www.reuters.com/world/china/tiktok-lay-off-hundreds-global-staff-shift-towards-ai-content-moderation-source-2024-10-11/
Cisco,2024-08-14,6300,Technology,United States,explicit_ai_cited,verified,reputable_reporting,https://abcnews.go.com/Business/wireStory/california-technology-company-cisco-cutting-7-workforce-shifts-112844330
Dell Technologies,2024-08-05,,Technology,United States,ai_reorg_or_spend_linked,verified,reputable_reporting,https://www.sahmcapital.com/news/content/dell-cuts-workers-in-sales-team-reorganization-with-new-ai-focused-unit-we-are-getting-leaner-executives-write-in-memo-to-employees-new-team-will-put-more-emphasis-on-ai-sales-and-dell-servers-bloomberg-news-2024-08-05
Intuit,2024-07-10,1800,Finance,United States,explicit_ai_cited,verified,primary,https://investors.intuit.com/sec-filings/all-sec-filings/content/0000896878-24-000030/ex9901-emltointuitemployee.htm
Grammarly,2024-02-09,230,Technology,United States,explicit_ai_cited,verified,reputable_reporting,https://techcrunch.com/2024/02/09/grammarly-lays-off-230-employees-as-part-of-a-business-restructuring/
PayPal,2024-01-30,2500,Finance,United States,automation_efficiency_cited,verified,primary_source,https://newsroom.paypal-corp.com/2024-01-30-Message-from-Alex-Chriss-President-and-CEO-of-PayPal
SAP,2024-01-24,8000,Technology,Germany,explicit_ai_cited,verified,primary,https://news.sap.com/2024/01/sap-updates-its-ambition-2025-and-announces-transformation-program-for-2024/
Duolingo,2024-01-09,,Education Technology,United States,ai_replacement_cited,verified,reputable_reporting,https://techcrunch.com/2024/01/09/duolingo-cut-10-of-its-contractor-workforce-as-the-company-embraces-ai/
BT Group,2023-05-18,55000,Other,United Kingdom,automation_efficiency_cited,verified,reputable_reporting,https://www.reuters.com/world/uk/bt-cut-up-55000-jobs-by-2030-fibre-ai-arrive-2023-05-18/
Dropbox,2023-04-27,500,Technology,United States,explicit_ai_cited,verified,primary,https://blog.dropbox.com/topics/company/a-message-from-drew
